ID,guests_count
2026-04-27-07,44
2026-04-27-08,80
2026-04-27-09,85
2026-04-27-10,74
2026-04-27-11,94
2026-04-27-12,161
2026-04-27-13,175
2026-04-27-14,146
2026-04-27-15,128
2026-04-27-16,127
2026-04-27-17,122
2026-04-27-18,131
2026-04-27-19,128
2026-04-27-20,106
2026-04-27-21,85
2026-04-27-22,70
2026-04-28-07,45
2026-04-28-08,82
2026-04-28-09,88
2026-04-28-10,77
2026-04-28-11,99
2026-04-28-12,176
2026-04-28-13,188
2026-04-28-14,163
2026-04-28-15,141
2026-04-28-16,135
2026-04-28-17,136
2026-04-28-18,148
2026-04-28-19,143
2026-04-28-20,117
2026-04-28-21,92
2026-04-28-22,80
2026-04-29-07,49
2026-04-29-08,88
2026-04-29-09,90
2026-04-29-10,84
2026-04-29-11,105
2026-04-29-12,176
2026-04-29-13,193
2026-04-29-14,160
2026-04-29-15,143
2026-04-29-16,138
2026-04-29-17,140
2026-04-29-18,150
2026-04-29-19,145
2026-04-29-20,114
2026-04-29-21,92
2026-04-29-22,83
2026-04-30-07,49
2026-04-30-08,87
2026-04-30-09,89
2026-04-30-10,84
2026-04-30-11,102
2026-04-30-12,181
2026-04-30-13,195
2026-04-30-14,167
2026-04-30-15,145
2026-04-30-16,138
2026-04-30-17,140
2026-04-30-18,153
2026-04-30-19,148
2026-04-30-20,116
2026-04-30-21,99
2026-04-30-22,86
2026-05-01-07,26
2026-05-01-08,60
2026-05-01-09,56
2026-05-01-10,58
2026-05-01-11,68
2026-05-01-12,93
2026-05-01-13,112
2026-05-01-14,117
2026-05-01-15,123
2026-05-01-16,118
2026-05-01-17,123
2026-05-01-18,132
2026-05-01-19,125
2026-05-01-20,105
2026-05-01-21,92
2026-05-01-22,83
2026-05-02-07,26
2026-05-02-08,46
2026-05-02-09,56
2026-05-02-10,59
2026-05-02-11,71
2026-05-02-12,82
2026-05-02-13,102
2026-05-02-14,119
2026-05-02-15,108
2026-05-02-16,108
2026-05-02-17,114
2026-05-02-18,115
2026-05-02-19,114
2026-05-02-20,97
2026-05-02-21,82
2026-05-02-22,84
2026-05-03-07,21
2026-05-03-08,31
2026-05-03-09,37
2026-05-03-10,47
2026-05-03-11,54
2026-05-03-12,76
2026-05-03-13,101
2026-05-03-14,105
2026-05-03-15,100
2026-05-03-16,98
2026-05-03-17,102
2026-05-03-18,107
2026-05-03-19,102
2026-05-03-20,93
2026-05-03-21,74
2026-05-03-22,70
