sale_date,sale_hour,weekday,month,year,hour,temperature,is_rain,lag_7_day,hour_sin,ma_7_day,is_holiday
2026-04-27,7,0,4,2026,7,0.6260000467300415,1.0,57,0.9659258262890683,42.0,0
2026-04-27,8,0,4,2026,8,1.0759999752044678,1.0,93,0.8660254037844387,75.85714285714286,0
2026-04-27,9,0,4,2026,9,1.1260000467300415,1.0,95,0.7071067811865476,81.28571428571429,0
2026-04-27,10,0,4,2026,10,1.7260000705718994,1.0,71,0.49999999999999994,74.0,0
2026-04-27,11,0,4,2026,11,1.9760000705718994,1.0,96,0.258819045102521,93.14285714285714,0
2026-04-27,12,0,4,2026,12,2.125999927520752,1.0,161,1.2246467991473532e-16,154.57142857142858,0
2026-04-27,13,0,4,2026,13,2.1760001182556152,1.0,167,-0.2588190451025208,171.0,0
2026-04-27,14,0,4,2026,14,1.8760000467300415,1.0,158,-0.4999999999999997,157.14285714285714,0
2026-04-27,15,0,4,2026,15,1.3760000467300415,1.0,129,-0.7071067811865471,136.28571428571428,0
2026-04-27,16,0,4,2026,16,1.1759999990463257,1.0,139,-0.8660254037844385,133.0,0
2026-04-27,17,0,4,2026,17,1.0260000228881836,1.0,118,-0.9659258262890683,133.42857142857142,0
2026-04-27,18,0,4,2026,18,1.0260000228881836,1.0,135,-1.0,144.71428571428572,0
2026-04-27,19,0,4,2026,19,0.8760000467300415,1.0,132,-0.9659258262890684,139.0,0
2026-04-27,20,0,4,2026,20,0.8760000467300415,1.0,101,-0.8660254037844386,112.57142857142857,0
2026-04-27,21,0,4,2026,21,0.8260000348091125,1.0,86,-0.7071067811865477,92.57142857142857,0
2026-04-27,22,0,4,2026,22,0.6759999990463257,1.0,63,-0.5000000000000004,84.0,0
2026-04-28,7,1,4,2026,7,0.7760000228881836,1.0,49,0.9659258262890683,39.5,0
2026-04-28,8,1,4,2026,8,1.2260000705718994,0.0,88,0.8660254037844387,73.0,0
2026-04-28,9,1,4,2026,9,1.0260000228881836,1.0,103,0.7071067811865476,79.0,0
2026-04-28,10,1,4,2026,10,1.1260000467300415,1.0,81,0.49999999999999994,74.5,0
2026-04-28,11,1,4,2026,11,1.1759999990463257,1.0,102,0.258819045102521,92.66666666666667,0
2026-04-28,12,1,4,2026,12,1.6759999990463257,0.0,186,1.2246467991473532e-16,153.5,0
2026-04-28,13,1,4,2026,13,1.8259999752044678,0.0,185,-0.2588190451025208,171.66666666666666,0
2026-04-28,14,1,4,2026,14,1.8259999752044678,0.0,179,-0.4999999999999997,157.0,0
2026-04-28,15,1,4,2026,15,1.9259999990463257,0.0,135,-0.7071067811865471,137.5,0
2026-04-28,16,1,4,2026,16,1.6260000467300415,0.0,127,-0.8660254037844385,132.0,0
2026-04-28,17,1,4,2026,17,0.9760000109672546,0.0,128,-0.9659258262890683,136.0,0
2026-04-28,18,1,4,2026,18,0.8260000348091125,0.0,149,-1.0,146.33333333333334,0
2026-04-28,19,1,4,2026,19,0.8260000348091125,0.0,138,-0.9659258262890684,140.16666666666666,0
2026-04-28,20,1,4,2026,20,0.7260000109672546,0.0,123,-0.8660254037844386,114.5,0
2026-04-28,21,1,4,2026,21,0.6260000467300415,0.0,94,-0.7071067811865477,93.66666666666667,0
2026-04-28,22,1,4,2026,22,0.5760000348091125,0.0,82,-0.5000000000000004,87.5,0
2026-04-29,7,2,4,2026,7,2.4260001182556152,0.0,50,0.9659258262890683,37.6,0
2026-04-29,8,2,4,2026,8,2.6760001182556152,0.0,95,0.8660254037844387,70.0,0
2026-04-29,9,2,4,2026,9,3.1760001182556152,0.0,99,0.7071067811865476,74.2,0
2026-04-29,10,2,4,2026,10,3.2760000228881836,0.0,88,0.49999999999999994,73.2,0
2026-04-29,11,2,4,2026,11,3.375999927520752,0.0,118,0.258819045102521,90.8,0
2026-04-29,12,2,4,2026,12,3.5759999752044678,0.0,168,1.2246467991473532e-16,147.0,0
2026-04-29,13,2,4,2026,13,3.375999927520752,0.0,206,-0.2588190451025208,169.0,0
2026-04-29,14,2,4,2026,14,3.5759999752044678,0.0,153,-0.4999999999999997,152.6,0
2026-04-29,15,2,4,2026,15,3.375999927520752,0.0,137,-0.7071067811865471,138.0,0
2026-04-29,16,2,4,2026,16,2.2760000228881836,0.0,131,-0.8660254037844385,133.0,0
2026-04-29,17,2,4,2026,17,1.5759999752044678,0.0,142,-0.9659258262890683,137.6,0
2026-04-29,18,2,4,2026,18,1.8259999752044678,0.0,148,-1.0,145.8,0
2026-04-29,19,2,4,2026,19,1.3760000467300415,0.0,141,-0.9659258262890684,140.6,0
2026-04-29,20,2,4,2026,20,1.3259999752044678,0.0,106,-0.8660254037844386,112.8,0
2026-04-29,21,2,4,2026,21,1.5759999752044678,0.0,89,-0.7071067811865477,93.6,0
2026-04-29,22,2,4,2026,22,1.1260000467300415,0.0,82,-0.5000000000000004,88.6,0
2026-04-30,7,3,4,2026,7,3.4260001182556152,0.0,45,0.9659258262890683,34.5,0
2026-04-30,8,3,4,2026,8,4.125999927520752,0.0,86,0.8660254037844387,63.75,0
2026-04-30,9,3,4,2026,9,3.9760000705718994,0.0,83,0.7071067811865476,68.0,0
2026-04-30,10,3,4,2026,10,4.326000213623047,0.0,63,0.49999999999999994,69.5,0
2026-04-30,11,3,4,2026,11,4.625999927520752,0.0,90,0.258819045102521,84.0,0
2026-04-30,12,3,4,2026,12,5.526000022888184,0.0,164,1.2246467991473532e-16,141.75,0
2026-04-30,13,3,4,2026,13,5.676000118255615,0.0,178,-0.2588190451025208,159.75,0
2026-04-30,14,3,4,2026,14,5.576000213623047,0.0,149,-0.4999999999999997,152.5,0
2026-04-30,15,3,4,2026,15,5.276000022888184,0.0,134,-0.7071067811865471,138.25,0
2026-04-30,16,3,4,2026,16,4.926000118255615,0.0,124,-0.8660254037844385,133.5,0
2026-04-30,17,3,4,2026,17,4.276000022888184,0.0,129,-0.9659258262890683,136.5,0
2026-04-30,18,3,4,2026,18,3.5260000228881836,0.0,144,-1.0,145.25,0
2026-04-30,19,3,4,2026,19,2.875999927520752,0.0,140,-0.9659258262890684,140.5,0
2026-04-30,20,3,4,2026,20,2.4260001182556152,0.0,108,-0.8660254037844386,114.5,0
2026-04-30,21,3,4,2026,21,2.125999927520752,0.0,99,-0.7071067811865477,94.75,0
2026-04-30,22,3,4,2026,22,2.0260000228881836,0.0,75,-0.5000000000000004,90.25,0
2026-05-01,7,4,5,2026,7,5.826000213623047,0.0,62,0.9659258262890683,31.0,1
2026-05-01,8,4,5,2026,8,6.826000213623047,0.0,91,0.8660254037844387,56.333333333333336,1
2026-05-01,9,4,5,2026,9,7.625999927520752,0.0,102,0.7071067811865476,63.0,1
2026-05-01,10,4,5,2026,10,8.076000213623047,0.0,88,0.49999999999999994,71.66666666666667,1
2026-05-01,11,4,5,2026,11,7.926000118255615,0.0,100,0.258819045102521,82.0,1
2026-05-01,12,4,5,2026,12,8.675999641418457,0.0,189,1.2246467991473532e-16,134.33333333333334,1
2026-05-01,13,4,5,2026,13,8.675999641418457,0.0,190,-0.2588190451025208,153.66666666666666,1
2026-05-01,14,4,5,2026,14,8.576000213623047,0.0,201,-0.4999999999999997,153.66666666666666,1
2026-05-01,15,4,5,2026,15,8.425999641418457,0.0,149,-0.7071067811865471,139.66666666666666,1
2026-05-01,16,4,5,2026,16,7.97599983215332,0.0,150,-0.8660254037844385,136.66666666666666,1
2026-05-01,17,4,5,2026,17,7.176000118255615,0.0,151,-0.9659258262890683,139.0,1
2026-05-01,18,4,5,2026,18,6.22599983215332,0.0,154,-1.0,145.66666666666666,1
2026-05-01,19,4,5,2026,19,5.826000213623047,0.0,153,-0.9659258262890684,140.66666666666666,1
2026-05-01,20,4,5,2026,20,5.426000118255615,0.0,136,-0.8660254037844386,116.66666666666667,1
2026-05-01,21,4,5,2026,21,4.076000213623047,0.0,110,-0.7071067811865477,93.33333333333333,1
2026-05-01,22,4,5,2026,22,3.625999927520752,0.0,92,-0.5000000000000004,95.33333333333333,1
2026-05-02,7,5,5,2026,7,11.076000213623047,0.0,23,0.9659258262890683,15.5,1
2026-05-02,8,5,5,2026,8,12.47599983215332,0.0,58,0.8660254037844387,39.0,1
2026-05-02,9,5,5,2026,9,13.175999641418457,0.0,70,0.7071067811865476,43.5,1
2026-05-02,10,5,5,2026,10,13.026000022888184,0.0,71,0.49999999999999994,63.5,1
2026-05-02,11,5,5,2026,11,13.276000022888184,0.0,85,0.258819045102521,73.0,1
2026-05-02,12,5,5,2026,12,14.925999641418457,0.0,133,1.2246467991473532e-16,107.0,1
2026-05-02,13,5,5,2026,13,15.12600040435791,0.0,155,-0.2588190451025208,135.5,1
2026-05-02,14,5,5,2026,14,15.12600040435791,0.0,138,-0.4999999999999997,130.0,1
2026-05-02,15,5,5,2026,15,15.675999641418457,0.0,162,-0.7071067811865471,135.0,1
2026-05-02,16,5,5,2026,16,15.026000022888184,0.0,144,-0.8660254037844385,130.0,1
2026-05-02,17,5,5,2026,17,13.776000022888184,0.0,137,-0.9659258262890683,133.0,1
2026-05-02,18,5,5,2026,18,13.12600040435791,0.0,156,-1.0,141.5,1
2026-05-02,19,5,5,2026,19,12.175999641418457,0.0,141,-0.9659258262890684,134.5,1
2026-05-02,20,5,5,2026,20,11.47599983215332,0.0,114,-0.8660254037844386,107.0,1
2026-05-02,21,5,5,2026,21,11.276000022888184,0.0,100,-0.7071067811865477,85.0,1
2026-05-02,22,5,5,2026,22,10.826000213623047,0.0,118,-0.5000000000000004,97.0,1
2026-05-03,7,6,5,2026,7,15.37600040435791,0.0,8,0.9659258262890683,8.0,1
2026-05-03,8,6,5,2026,8,17.17599868774414,0.0,20,0.8660254037844387,20.0,1
2026-05-03,9,6,5,2026,9,18.525999069213867,0.0,17,0.7071067811865476,17.0,1
2026-05-03,10,6,5,2026,10,19.825998306274414,0.0,56,0.49999999999999994,56.0,1
2026-05-03,11,6,5,2026,11,20.67599868774414,0.0,61,0.258819045102521,61.0,1
2026-05-03,12,6,5,2026,12,21.42599868774414,0.0,81,1.2246467991473532e-16,81.0,1
2026-05-03,13,6,5,2026,13,21.625999450683594,0.0,116,-0.2588190451025208,116.0,1
2026-05-03,14,6,5,2026,14,21.47599983215332,0.0,122,-0.4999999999999997,122.0,1
2026-05-03,15,6,5,2026,15,21.72599983215332,0.0,108,-0.7071067811865471,108.0,1
2026-05-03,16,6,5,2026,16,21.17599868774414,0.0,116,-0.8660254037844385,116.0,1
2026-05-03,17,6,5,2026,17,19.575998306274414,0.0,129,-0.9659258262890683,129.0,1
2026-05-03,18,6,5,2026,18,18.125999450683594,0.0,127,-1.0,127.0,1
2026-05-03,19,6,5,2026,19,16.625999450683594,0.0,128,-0.9659258262890684,128.0,1
2026-05-03,20,6,5,2026,20,15.276000022888184,0.0,100,-0.8660254037844386,100.0,1
2026-05-03,21,6,5,2026,21,10.0,0.0,70,-0.7071067811865477,70.0,1
2026-05-03,22,6,5,2026,22,10.0,0.0,76,-0.5000000000000004,76.0,1
